Review,Timestamp,Source,Product,Aspect_List
"Great phone, although I miss the integrated features that the iPhone provides. Excellent battery. However, the camera is slow and out of focus.",12-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
The camera slows and out of focus and the whole phone itself seems slow. I had a Samsung Note before it was fast and was great for pictures which is the biggest reason I bought this note. If it wasn't for this defect it would have been a perfect 5 stars. (3.8/5),12-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
Love the phone but the camera is soooo bad. :(,12-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"I have had this phone for a little over a month now and am extremely happy with it. I love everything about it EXCEPT the Visual Voicemail Update that WONT GO AWAY. I DO NOT want Visual Voicemail and besides that, Verizon wants to charge 2.99 a month for it!! I won't go into this any further as it will just spark more rants about unwanted software/bloat ware. The problem with this particular piece of crapware is that notifications CONTINUALLY pop up and sit in the notifications bar at the top of the phone. If you clear it, it comes back, and there is no way to turn it off either! This is the reason for taking off 1 star off the phone¡¦s rating. Other than that, the phone is a real performer, takes wonderful pictures and video and is still slim enough to fit nicely in my back pocket. The phone is big, but so are my hands and it could not fit them better. This is truly a ¡§where have you been all my life¡¨ moment having this phone. The larger display is just awesome and the pen works great too. This phone would be a perfect 10+ without the software/bloat ware thing. But hey, where would the world be without annoying salespeople trying to sell you what you don¡¦t want or need? Anyway, the battery life has been great for me. Most times I can go 2 days without a charge. I do turn my phone off at night though and I don¡¦t play games on it with the exception of Bubble Shootº. I went from the Droid Razr Maxx to this phone and I loved that phone, well I thought I did until I got this phone. I was hesitant going away from Motorola equipment, as I have always had some sort of Motorola device because they are made so well. REALLY glad I made this switch!!",12-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"Great phone, although I miss the integrated features that the iPhone provides. Excellent battery. I haven't found aftermarket apps, but in my transition i've noticed: What I do love: Great screen size to read everything comfortably, watch video clips, and appreciate pictures. Great battery life. I had to charge the iPhone I had twice a day. This I abuse and it still gets me through the day. It also has a removable battery for instant juice. Family I have in the Philippines have had to charge theirs 3-4 times a day due to the network infrastructure. Responsive In my transition, things I have noticed: -Native list syncing is not present. I decided to go with Wunderlist. I would have used Google Task, but it's not developed yet. -No button that pulls up voice command like Siri does in the lock screen. The voice command is not universal and not as easily accessible like Siri was. You can have it activate in the lock screen with a double tap of the home button, but it doesn't work if the phone is unlocked. If it is unlocked, you have to find the app. There is a buttonless voice activation (""Hi Galaxy""), but it stops working sometimes. -Google maps will persist in lock mode, but only if you don't hit the home button to summon the unlock screen. When you do that, the map disappears and you must unlock the phone to see it again (the iPhone will always show the map when navigating while locked, which was really nice). -Some apps tend to freeze. I simply hold down the home button and swipe to close a running program and then reopen it. -The text size kept changing on me every time I tried to text. I found you change the default text size with the volume buttons. -I had to be creative to migrate my contacts. I moved everything to Google from my iPhone, then synced with my phone. One thing that is great is that I can manage my contacts now through Google Contacts through my Gmail (they have a tool to remove duplicate contacts! -Text to speech engine is awesome, better than Siri in accuracy and speed, I think. -Camera and playlist controls aren't available in the lock screen as they were with the iPhone, UNLESS you disable security. I've used the pen when in phone calls to jot down and auto-call the numbers I write afterwards, which is really nice. After the novelty of the pen, I reverted to using the on-screen keyboard. I still use it on occasion. I like the availability, especially when sending information to people or writing on maps. I have used the S-Note notebooks to draw guitar chords and strumming patterns, so that's really nice. I just wish there was more integration, so I can see my notebooks on my computer. For a case, I used the Otterbox Commuter, which works well. It has no belt clip, but I would imagine I'd get tired of putting on the clip after a while anyway. This just slides into my pocket. Did I enjoy my iPhone? yes. simple, works, well integrated, robust, although sometimes non-responsive and poor battery life. Do I enjoy the Galaxy Note? yes. Totally different experience with the larger screen, great battery life, more enjoyment of pictures, video. It's not as well integrated, but it works and does what I want. In a mobile computing device/phone that I have on me all the time the screen, snappiness, battery life, and pen bring really make it and are much more important in the experience. Will I stay? I think so. I will learn the phone soon enough. The experience is just different. If you have any comments, please do! I'm still learning the phone. It is a great piece of art and master craftsmanship from Samsung. It comes from South Korea, a powerhouse of cutting edge technology and force in the global economy (I was there for a year and can appreciate the history). Not to be confused with China or Japan",12-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"This is definitely the best phone I've owned. My previous were the Samsung Fascinate (Galaxy 1) and then the Galaxy S3. I have always prefered Samsung devices. I like Apples hardware but I hate iOS, so I stick to android devices. After working several jobs selling cell phones, and working with them all the time I always choose to buy samsung. I just think the Galaxy series phones have been really good. Well, the time came for my S3 to upgrade and I was planning on getting the newest ""S"" phone which at the time was the S5. After playing around with one for a bit I just wasn't crazy about it. It seemed bigger than my S3 by a noticeable amount, and had some annoying features that were unable to be turned off. I didn't care about the S Health or anything like that. I care about speed, and features. Thats where the Note shines. It is a large phone, but its actually not that much bigger than an S5. An S5 with an otterbox is bigger than my Note with a slim grip case. I have now had the phone for a couple months and pocketing it is no big deal at all. Also the Note has awesome features. S-Window is really cool, as well as Scrapbooker. S-note is useful for reminders or jotting down a number or something really quick. S-draw is really cool to use. The pen even comes in handy for texting and normal web use. Its screen is also really nice not quite 1080p but its 720p. It looks just fine I watch videos on it all the time. all in all I highly recommend the Note 3. The Note 4 hardware and build quality/materials are better. Its more expensive and has some slightly annoying features though. Consider a Note as your next phone over a Galaxy S. Not to m",12-Aug-23,Best Buy,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"I don't use a cell phone a lot, but I love the functionality of this phone. It is more like a mini tablet. The pen that comes with it is very handy, and activates the phone when you pull it out. It is also great for more precise selections and for note taking. I am very happy with the resolution of the screen and the response of both touch and pen. Buying the phone from Amazon and setting up a new Verizon account was painless. I easily got the account and on-line payment set up without a hitch. I also transferred my AT&T phone number to the phone without any problems. I won't reiterate the tech specs of the phone as you can read all of that on the product page. I just want to let you know what I think of it as a user of the phone. At this point in time, I couldn't be happier with this phone or the Verizon service. UPDATE 5/07/16 I've had this phone for a little over 3 years, and I still have no desire to get a new phone. I did, however, recently decide to switch my service provider from Verizon to T-Mobile because of the offerings of T-Mobile which I won't get into. I was assured by the T-Mobile rep that as long as the phone was unlocked, I could replace the Verizon sim card with the one from T-Mobile and the phone would work with no problems after activating the T-Mobile sim card. I am updating this review so that others don't experience what I did if they want to change their provider. First of all, Verizon has never locked any of their 4G phones. Verizon uses a CDMA network which is also used by Sprint and US Cellular, T-Mobile and AT&S use a GSM network. One difference is the polarity used, so phone for each type of network are manufactured to use the specific polarity of the network. The other difference that should be considered by the end user is that on the GSM network customer information is stored on the sim card. This means that you can take the sim card from one phone and insert it into another and it will work.GSM carriers must accept any GSM phone. So they don't have control over the phone you are using. CDMA carriers use network based white lists. So you can only switch phones with your carrier's permission, and the carrier doesn't have to accept any particular phone. There are other differences between the two network types, but those I have mentioned affect the end user the most. In my case, I had to buy a new phone in order to switch to T-Mobile as a carrier. I was also told by Verizon that this phone ""may"" work with another CDMA carrier, but it my lose functionality. I have had to buy another phone to use the GSM network, and have decided to get the Galaxy Note 4 since I have to give up my Note 3. I hope this helps other in choosing a carrier and a phone.",12-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"best phone I've had so far. switched from AT&T to Verizon with this phone, and glad I did, customer service has been excellent. there were problems with overheating and the battery draining quickly - which you can see via an internet search - Verizon replaced the phone, but I found that the problem really seems tied to Google updating/syncing photos and videos - once I turned that off (and only do it on demand and when plugged in) the problem seems solved. have not been thrilled by the Note feature, but that is probably just my ignorance. Excellent camera, and I love the Google voice search/response feature (of course, that's an android, not just the Note 3). I am fairly careful with my phones, so haven't put a screensaver on it, nor do I use a case (most of the time) due to the weight - and find the phone and screen to be pretty durable, it still looks like new after about 2 years. it's large, and rather unwieldy, but for my old eyes, ability to see things on the screen makes up for it! it is slim and light enough to not be a problem. the sound is really good too, I almost always use the speakerphone on it for making calls, and like the sound when I play music or listen to audio books (and I'm fussy!). I haven't tried other brands, so can't comment on how the note 3 compares, tho I did look at them in the store before settling on this phone",12-Aug-23,Best Buy,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"Quick reference review: (details below) Fantastic all around! beautifully crisp screen in full HD, very quick response time for all around performance from texts to apps to games. Battery life is astounding, average users will have no problem going throughout a day on one battery, or even two. Connection on Verizon is fast, for both Data and Calls. I haven't experience any call quality issues. Camera qualities are second to none. The S-pen is a nice feature to have. Phone layout/buttons is easy to get used too. I can use this phone easily with one hand, but I have big hands in general. If your only issue with this phone is its size, GET IT. You easily get used to the size and don't even notice it (however i wouldnt recommend to individuals with tiny hands). Comment with any other questions ill try to get back as quick as I can. Bought this phone off amazon in january (2 months ago) due to its amazing deal and reduced price and I am not at all dissatisfied. Worth noting, I purchased this phone over the LG G2. I do have a single significant complaint on this phone regarding the charger, scroll to the bottom for that. Design: The layout and physical features of this phone are fantastic. While it may not be encased in a solid block of metal, you never feel like your holding a cheap phone. The materials are very sturdy and well made, especially when one utilizes a case. In my opinion, being able to access the battery, sim, microSD in the back of the phone is more useful than it being in a solid metal body. The phone itself is incredibly thin. I purchased a Spigen slim hardcase for the phone because I wanted to keep the phone sleek and thin as designed. Button placement is very intuitive and easy to get used too. Hardware: This phone is fast. All the benchmark tests do not lie. This thing performs better than any phone i've had and is faster than my 1st gen Samsung Galaxy Tab. I like to get the most out of my phones, to the point of unlocking them, but even with all of the pre-loaded bloat-apps this thing still flys. Great on WiFi or LTE. Screen is amazingly clear, with great contrast and color. Buttons are firm and don't feel like they're going to break. The speakers are good, not great. They get the job done for most users watching youtube or listening to music occasionally. If you're a hardcore music lover and sound quality is a top priority, you may want to look elsewhere. Touch screen sensitivity is great out of the box. I've had no issues. UI and software: If you've ever used an andriod or samsung device before, you'll quickly find yourself comfortable with this phone. If you've never used it before, it is easy and very enjoyable. I always recommend it over iOS, But I don't have enough experience with Windows to sway you from it. But the User Interface is intuitive and for the most part can be understood by most. There are so many customization's. From different widgets, layouts, screens, you have so many options to satisfy the most eclectic or OCD personalities. Camera: So many phones have crazy camera features or settings, while the average user wont notice or use half of them. I will say, the picture quality and useful features on this phone can be handy. From action shots to selfies to posting your lunch to instragram this phone with suffice for most! I always say if you want to really take meaningful pictures, buy a DSLR! Size: The size of this phone always seems to be the sticky issue with people. As I mentioned before, if size is the only issue holding you back from this phone, JUST GET IT. 99% of your wont be disappointed, and will quickly get used to the phone. Depending on your size, it will be easier than others. The average male wouldn't have a problem with it in his pocket. For reference I am about 6 foot and average build with larger hands. I'm always amazed how often I don't even feel it. However, for smaller individuals it may be an issue. My honest opinion is find one in person. I went to BestBuy and the Samsung rep allowed me to hold his work Note3. I was able to get a real sense of size and feel of it in my pocket, and not just attached to a display table. I love having a larger screen, it just makes it that much easier to use and enjoy, and to me outweighs any size inconvenience. Battery Life: It's amazing. The big size means samsung is able to throw a big battery in it. So even though the larger screen uses more power, many average users wont have a problem going an entire day on one charge. on average i get about a day and a half. If i use heavy (constant screen on) for several hours straight, then i'll run the battery down in a day. But idle in your pocket with LTE on all day. You'll have no issues. The USB 3.0 charger/port is fantastic. This thing charges so fast. I can get a full charge in half the time as my old HTC Thunderbolt. People complain about the thickness of the cord, but its required for the phone to charge that fast, safely. Which brings me to my only issue i've had with this phone... My only complaint: I had a few issues charging my phone. At first I was extremely upset as I thought the port inside my phone was defective. Essentially, with the USB 3.0 cord and charger, you get 2 connections in one. The standard USB port, and an extra smaller port which is why your able to achieve such fast charging and data transfers. My issue was that one of the 2 connections on the USB3 wasn't getting a solid contact in my phone. This lead to longer charge times and my phone telling me ""Please use the original charger that came with your phone for faster charging"". I simply bought a new cord on amazon and i haven't had any problems since. I recommend to anyone having charging issues to first try another cord, as my issue was that the connection to the phone on the cord, was slightly bent. On the other side, its worth noting you CAN indeed charge this phone with regular phone micro USB cords, however it will be slow. Overall, JUST GET THIS PHONE. I can't state it enough, it is really a fantastic phone. I fought back and forth whether to get this or the LG G2 for cheaper, but I decided I wanted the best phone I could buy (at ~$250 for the best phone on the market? that's fairly priced) and would last me a long time, and more importantly keep me preoccupied, and not wanting to buy a new phone before my upgrade.",12-Aug-23,Facebook,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"Love, Love, Love it!!!! This is my first smartphone and I love it. The first three days I was like... this thing is way to big, this isn't going to work. After that I got used to it and I can tell you, there is no way I can ever go back. The camera is fantastic. The picture quality on the screen is breathtaking. I have watched so many HD videos. It does allow for split screen and doing multiwork. For example I can split screen and have txt messages on one side and web browser on the other. I can also get on the internet and search something while talking on the phone with someone. And don't forget the stylus! I had some people tell me it was gimmicky but I really like it. When making notes and reminders its much easier than typing and I like to use it for alot of games as well since it is more precise than using my finger.",12-Aug-23,Best Buy,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
"This is my first purchase of a cell phone from Amazon. The phone is beautiful and is just what I wanted. The price was right and the delivery time was excellent. The only issue I had was that I did not know that I needed to call Verizon first before it would activate. It seems like Amazon could mention that step when they sell a new phone. Even Verizon did not mention it in the accompanying paperwork that came with the phone. After several unsuccessful attempts to activate the phone, which is supposed to be automated, I went to the Verizon website and found a number I should call prior to letting the phone run the auto-setup and activate the phone. Other than that, I am thrilled with my purchase.",13-Aug-23,Amazon,"Samsung Galaxy Note 3, Black 32GB","camera, battery"
